X,Y,portid,portname,country,ISO3,fullname,lat,lon,pageid,ObjectId
-8961175.67218076,2532706.90097414,port244,Cienfuegos,Cuba,CUB,"Cienfuegos, Cuba",22.17631285,-80.4996107,564aa0137d9c457b8f1ec5aee04ca3ca,553
-3011501.93125297,4680434.51504371,port1018,Praia da Vitoria,Portugal,PRT,"Praia da Vitoria, Portugal",38.71152974,-27.05278213,28f4cb3164254509b470e9e77be94e7e,554
-4873909.77466377,-2621809.62303302,port422,Guaiba Island Terminal,Brazil,BRA,"Guaiba Island Terminal, Brazil",-22.91555492,-43.78307644,9dad64ce7fc340b5b8c79b8d6f76f94e,555
13198522.1331517,-2312243.56225668,port955,Port Hedland,Australia,AUS,"Port Hedland, Australia",-20.33066003,118.5643416,1f3c8e478b2a44f2b2a8c759e71c438c,556
612840.310893288,8240088.19206479,port547,Karsto,Norway,NOR,"Karsto, Norway",59.27511179,5.50523818,18b6179c6a9a4e7da06ace266ea0326e,557
-5416064.4018973,-3278102.90557367,port492,Imbituba,Brazil,BRA,"Imbituba, Brazil",-28.23079391,-48.65333432,8f3e2be0a54e4348a7439d85a59e9114,558
571840.43863118,8844078.72625064,port692,Maloy,Norway,NOR,"Maloy, Norway",61.93640348,5.136930061,33368d0e08084aa9b7789ea204d1ecca,559
-7585461.70755498,6317053.10866945,port93,Baie Comeau,Canada,CAN,"Baie Comeau, Canada",49.24803552,-68.14136189,eeffcb6469a84ed7b5ea46b794139e1e,560
-5417629.47712741,-3110224.34773709,port505,Itajai,Brazil,BRA,"Itajai, Brazil",-26.89391722,-48.66739363,98af1e99765340109c2b8365d9ead08e,561
-7822362.96901864,5409359.97038087,port995,"Portland, ME",United States,USA,"Portland, ME, United States",43.63649354,-70.26948213,6a802de70de048b198babd044d2e2b06,562
-4937408.24119149,-292551.471960151,port506,Itaqui,Brazil,BRA,"Itaqui, Brazil",-2.627113568,-44.35349287,9eccbda05a1f42eeb4ebf646191f8a66,563
15418386.0776404,-4138144.52857993,port929,Port Adelaide,Australia,AUS,"Port Adelaide, Australia",-34.81039638,138.5057187,e1a080afe40e4a93a2b0c2460bc13caf,564
-4649665.42798382,-2557953.69965808,port673,Macae,Brazil,BRA,"Macae, Brazil",-22.38617458,-41.7686552,438752bf99c44db5964e59cd47ec215c,565
-7345453.3832935,5655177.59396633,port211,Canaport (St. John),Canada,CAN,"Canaport (St. John), Canada",45.21338638,-65.98533043,b66ff5de09e943d08f52cb30d667cd67,566
-7076786.12440727,5569128.69418544,port443,Halifax,Canada,CAN,"Halifax, Canada",44.66623193,-63.57185138,87a34959d3b344a9a86df013d14e3f6a,567
-4299175.50583071,-1430963.48542467,port677,Madre De Deus,Brazil,BRA,"Madre De Deus, Brazil",-12.74806227,-38.62015066,2d501b82e6614f13aac60bfc6259eaf5,568
-984299.750244876,4650297.97203353,port1184,Setubal,Portugal,PRT,"Setubal, Portugal",38.49997283,-8.842115098,6f582ecb41e24a46bfdea4f3e7ea2137,569
-9253873.15117079,5203664.50035508,port1115,Detroit,United States,USA,"Detroit, United States",42.28431795,-83.12895689,4f54b859849d4edf90918fd12887f606,570
-6674749.84673891,-349066.432005765,port693,Manaus,Brazil,BRA,"Manaus, Brazil",-3.134152922,-59.96029805,c9f520e7cd5242b7b04a6ffc7ac215bf,571
890643.577977406,7997972.97635117,port600,Kristiansand,Norway,NOR,"Kristiansand, Norway",58.14563334,8.000787388,f0ad6082cdf4459fa6988abe98e8b835,572
-9212275.48422624,2632671.55022556,port704,Mariel,Cuba,CUB,"Mariel, Cuba",23.00539885,-82.75527869,850ef406def04dae8da9086e689fe626,573
-3919025.40593041,-643740.402952343,port799,Natal,Brazil,BRA,"Natal, Brazil",-5.773025379,-35.20520421,f662077a7f134aa68142287dfb322c6d,574
-5400902.76740129,-2937930.56402321,port885,Paranagua,Brazil,BRA,"Paranagua, Brazil",-25.50523872,-48.51713504,b30593952ab5414d86f56b8a64cc391d,575
-4112201.19294831,-1212309.00397343,port941,Port De Aracaju,Brazil,BRA,"Port De Aracaju, Brazil",-10.82536946,-36.94053183,67b5cc34aef54d38be1d738bea0c5a62,576
-4286390.94989247,-1454765.83890659,port944,Port De Salvador,Brazil,BRA,"Port De Salvador, Brazil",-12.95652543,-38.50530504,b41ece62d76a4fdda9717cd6c98d4baf,577
-5701715.35044095,-3499239.16445106,port997,Porto Alegre,Brazil,BRA,"Porto Alegre, Brazil",-29.96645881,-51.21938045,a23c6a9e96fd4d59bfd57de6791e5346,578
-3976667.20376618,-1082684.00041156,port1000,Porto De Maceio,Brazil,BRA,"Porto De Maceio, Brazil",-9.679541135,-35.72300929,c51cd9cc46b6452f80b6dc31b5d49ef3,579
-4282631.76415925,-413667.544917165,port1001,Fortaleza (Mucuripe),Brazil,BRA,"Fortaleza (Mucuripe), Brazil",-3.713436299,-38.4715357,09d535fefe544314b66e3ff72fb42159,580
-3893166.57060761,-937267.074947421,port1002,Porto De Suape,Brazil,BRA,"Porto De Suape, Brazil",-8.389473356,-34.97291034,a99d2acf2b544278ac9a38257c98373b,581
-4319718.58388608,-394111.967453295,port1010,Porto Pecem,Brazil,BRA,"Porto Pecem, Brazil",-3.538117253,-38.80469227,131bbbb5e6ef41179aa0dbee52af09da,582
-4459246.33457202,-2254028.39082702,port1012,Portocel,Brazil,BRA,"Portocel, Brazil",-19.8395104,-40.05809138,bb298bf8f6d942ac86f880e2d8d49d48,583
-3881544.49739505,-899096.426890449,port1094,Recife,Brazil,BRA,"Recife, Brazil",-8.050103675,-34.86850748,be6519cd75504ecc965faed4b08a1fb0,584
-4808945.2326687,-2617836.52537263,port1103,Rio De Janeiro,Brazil,BRA,"Rio De Janeiro, Brazil",-22.88267673,-43.19949003,9fad4485076a44058f1473ec8ba0c6a1,585
-5800019.96860912,-3774947.09854865,port1104,Rio Grande,Brazil,BRA,"Rio Grande, Brazil",-32.08860546,-52.10246586,4fb9f586da834130b270f2cb0246e1ab,586
-5158162.65726977,-2743305.71963216,port1160,Santos,Brazil,BRA,"Santos, Brazil",-23.91706787,-46.33656353,c1acbf26c48b43629974f2253b6f9557,587
-5412406.40224162,-3025162.68678586,port1161,Sao Francisco,Brazil,BRA,"Sao Francisco, Brazil",-26.210395,-48.62047395,2c3725fe58b24f9b91c29af03e98d936,588
-8533.52151022743,7090597.92658831,port421,Grimsby,United Kingdom,GBR,"Grimsby, United Kingdom",53.57779578,-0.076657928,1327c99691b24a70ad89cf064b5eff9c,589
-5054600.66111473,-2729359.9957442,port1162,Sao Sebastiao,Brazil,BRA,"Sao Sebastiao, Brazil",-23.8024977,-45.40625029,95794fbc5292446798c51cf8ae207753,590
-4479259.80013119,-2303717.89382898,port1328,Tubarao,Brazil,BRA,"Tubarao, Brazil",-20.25882714,-40.2378754,152c6a8807f14a8382579285b80f474d,591
-4489670.9844507,-2311710.20458325,port1368,Vitoria,Brazil,BRA,"Vitoria, Brazil",-20.32616721,-40.33140066,5b87f12af50e4a9fa22900a0ff2c4967,592
-6640010.76509166,1492513.18237389,port63,Arawak,Barbados,BRB,"Arawak, Barbados",13.28676153,-59.64823157,dcdf48cd22454e538e980db19b1c536f,593
-6637697.13864364,1471915.40357247,port171,Bridgetown,Barbados,BRB,"Bridgetown, Barbados",13.10661495,-59.62744791,83727e1884b54848ae65efeb91805236,594
4528068.69582194,9484408.38240701,port68,Arkhangelsk,Russian Federation,RUS,"Arkhangelsk, Russian Federation",64.52521694,40.67633317,18b1f9076c1f491caac5bb16ccc5f265,595
5345738.78001732,5842209.77220595,port76,Astrakhan Port,Russian Federation,RUS,"Astrakhan Port, Russian Federation",46.38467723,48.02158851,f7d1951212dd4a6cbaf99451ad8e87c2,596
